[2025-02-02T20:30:03.884+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:30:03.899+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:29:57.839334+00:00 [queued]>
[2025-02-02T20:30:03.906+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:29:57.839334+00:00 [queued]>
[2025-02-02T20:30:03.907+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:30:03.918+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:29:57.839334+00:00
[2025-02-02T20:30:03.923+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3273) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:30:03.925+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'flights_pipeline', 'load_data_into_duckdb', 'manual__2025-02-02T20:29:57.839334+00:00', '--job-id', '70', '--raw', '--subdir', 'DAGS_FOLDER/zdag.py', '--cfg-path', '/tmp/tmp4yd4lhlp']
[2025-02-02T20:30:03.925+0000] {standard_task_runner.py:72} INFO - Started process 3305 to run task
[2025-02-02T20:30:03.926+0000] {standard_task_runner.py:105} INFO - Job 70: Subtask load_data_into_duckdb
[2025-02-02T20:30:06.764+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '47873f', 'callsign': 'NOZ3LB  ', 'origin_country': 'Norway', 'time_position': None, 'last_contact': 1738528100, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 1.29, 'true_track': 258.75, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:06.773+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '151e28', 'callsign': 'TYA107  ', 'origin_country': 'Russian Federation', 'time_position': None, 'last_contact': 1738528197, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 39.08, 'true_track': 339.18, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:06.863+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aa68fb', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528194, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 89.99, 'true_track': 300.96, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.089+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e4988d', 'callsign': 'GLO1247 ', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528104, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 222.34, 'true_track': 31.37, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.189+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a478d2', 'callsign': 'N3878Y  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 60.07, 'true_track': 196.42, 'vertical_rate': 3.58, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.243+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a44bb3', 'callsign': 'N376SP  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528131, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 48.78, 'true_track': 207.65, 'vertical_rate': -0.98, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.270+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '344043', 'callsign': '7777XPML', 'origin_country': 'Spain', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0, 'true_track': 165.94, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.361+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a3e578', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528179, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 76.02, 'true_track': 354.17, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.677+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a6dd43', 'callsign': 'N541SR  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 91.34, 'true_track': 4.52, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.766+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '4ca95e', 'callsign': 'RUK808G ', 'origin_country': 'Ireland', 'time_position': None, 'last_contact': 1738528187, 'longitude': None, 'latitude': None, 'baro_altitude': 10485.12, 'on_ground': False, 'velocity': 199.08, 'true_track': 7.13, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 10660.38, 'squawk': '7757', 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.804+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'ad8ed7', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528198, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 4.89, 'true_track': 180, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.861+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a3965c', 'callsign': 'FFT1439 ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 10.8, 'true_track': 84.38, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 1}
[2025-02-02T20:30:07.866+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a63f16', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 161.23, 'true_track': 217.09, 'vertical_rate': 16.91, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:07.999+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e06543', 'callsign': 'ARG1207 ', 'origin_country': 'Argentina', 'time_position': None, 'last_contact': 1738528180, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 181.68, 'true_track': 227.41, 'vertical_rate': 12.68, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.037+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a9a6e3', 'callsign': 'N7207K  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528195, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 73.23, 'true_track': 204.04, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.070+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e49641', 'callsign': 'AZU4349 ', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528198, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 188.02, 'true_track': 278.97, 'vertical_rate': 10.08, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.085+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'c80af2', 'callsign': 'ZKEJY   ', 'origin_country': 'New Zealand', 'time_position': None, 'last_contact': 1738528141, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 3.09, 'true_track': 120.94, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.110+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a6a4d5', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528189, 'longitude': None, 'latitude': None, 'baro_altitude': 11887.2, 'on_ground': False, 'velocity': 227.51, 'true_track': 137.11, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': 12412.98, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.113+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'c06c56', 'callsign': 'PVL852  ', 'origin_country': 'Canada', 'time_position': None, 'last_contact': 1738528198, 'longitude': None, 'latitude': None, 'baro_altitude': 4777.74, 'on_ground': False, 'velocity': 113.69, 'true_track': 248.78, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': 4572, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.536+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a33e08', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528197, 'longitude': None, 'latitude': None, 'baro_altitude': 6705.6, 'on_ground': False, 'velocity': 194.92, 'true_track': 283.12, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': 7094.22, 'squawk': '4730', 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.540+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a47802', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528186, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 73.84, 'true_track': 50.65, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.556+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a690d0', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528130, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 58.27, 'true_track': 76.21, 'vertical_rate': 3.25, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.696+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c78ac', 'callsign': 'QJE1522 ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528089, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0.06, 'true_track': 188.44, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:08.739+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e80331', 'callsign': 'SKU634  ', 'origin_country': 'Chile', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 163.19, 'true_track': 81.84, 'vertical_rate': -5.85, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.274+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '8880e3', 'callsign': '', 'origin_country': 'Viet Nam', 'time_position': None, 'last_contact': 1738528191, 'longitude': None, 'latitude': None, 'baro_altitude': 11269.98, 'on_ground': False, 'velocity': 279.08, 'true_track': 43.73, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': 11963.4, 'squawk': '5617', 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.416+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a621f8', 'callsign': 'N49447  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528195, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 38.95, 'true_track': 167.8, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.607+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '347481', 'callsign': '', 'origin_country': 'Spain', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 137.82, 'true_track': 115.9, 'vertical_rate': 16.26, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.636+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'ab8e7c', 'callsign': 'N8438P  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 80.22, 'true_track': 263.74, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.722+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'acaf82', 'callsign': 'N9161T  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528132, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 50.82, 'true_track': 21.37, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.782+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'adbc6d', 'callsign': 'N9840W  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738527944, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 43.65, 'true_track': 315, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.810+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aa1f5a', 'callsign': 'SKW6464 ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528174, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0, 'true_track': 239.06, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:12.890+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '3c83e9', 'callsign': 'TXLU11  ', 'origin_country': 'Germany', 'time_position': None, 'last_contact': 1738528198, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 8.23, 'true_track': 0, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 1}
[2025-02-02T20:30:13.029+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'acb824', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528185, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 208.67, 'true_track': 333.81, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:13.114+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a23a6f', 'callsign': 'CXK322  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528070, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 38.07, 'true_track': 180.77, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:13.144+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a23a50', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738527920, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 59.47, 'true_track': 307.27, 'vertical_rate': -0.65, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:13.187+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c4e49', 'callsign': 'POL22   ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528199, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 77.12, 'true_track': 135, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
