[2025-02-02T20:39:20.197+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:39:20.214+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.222+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.224+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:39:20.238+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:39:13.519752+00:00
[2025-02-02T20:39:20.244+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3550) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:39:20.246+0000] {standard_task_runner.py:72} INFO - Started process 3582 to run task
[2025-02-02T20:39:22.276+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a4740a', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528753, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 38.61, 'true_track': 177.71, 'vertical_rate': 4.55, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.552+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'abac50', 'callsign': 'DAL51   ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528754, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 227.36, 'true_track': 186.63, 'vertical_rate': -7.15, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.592+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a6a358', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528696, 'longitude': None, 'latitude': None, 'baro_altitude': 1775.46, 'on_ground': False, 'velocity': 118.18, 'true_track': 192.83, 'vertical_rate': 0.65, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.643+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a3fea3', 'callsign': 'N35683  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528755, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 44.95, 'true_track': 236.67, 'vertical_rate': 3.9, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.770+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a64fca', 'callsign': 'N50564  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528749, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 30.57, 'true_track': 223.64, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.820+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '4bb287', 'callsign': 'THY140  ', 'origin_country': 'Turkey', 'time_position': None, 'last_contact': 1738528717, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 297.29, 'true_track': 142.1, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.837+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a478d2', 'callsign': 'N3878Y  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528753, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 68.01, 'true_track': 197.61, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.918+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a870bc', 'callsign': 'N643DS  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528753, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 66.97, 'true_track': 238.51, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.938+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '344043', 'callsign': '7777XPML', 'origin_country': 'Spain', 'time_position': None, 'last_contact': 1738528750, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0, 'true_track': 165.94, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:23.012+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '841e00', 'callsign': '', 'origin_country': 'Japan', 'time_position': None, 'last_contact': 1738528655, 'longitude': None, 'latitude': None, 'baro_altitude': 7.62, 'on_ground': True, 'velocity': 0, 'true_track': 61.88, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': '0000', 'spi': False, 'position_source': 0, 'category': 0}
